,id,valor,categoria
124,124,292,Cliente
125,125,301,Fornecedor
126,126,212,Cliente
127,127,494,Fornecedor
128,128,409,Fornecedor
129,129,373,Cliente
130,130,222,Fornecedor
131,131,286,Cliente
132,132,248,Fornecedor
133,133,285,Cliente
134,134,413,Cliente
135,135,294,Fornecedor
136,136,129,Fornecedor
137,137,369,Cliente
138,138,475,Fornecedor
139,139,182,Cliente
140,140,492,Fornecedor
141,141,407,Cliente
142,142,459,Fornecedor
143,143,457,Cliente
144,144,266,Fornecedor
145,145,304,Cliente
146,146,246,Fornecedor
147,147,405,Fornecedor
148,148,274,Fornecedor
149,149,212,Fornecedor
150,150,402,Cliente
151,151,385,Cliente
152,152,445,Cliente
153,153,336,Fornecedor
154,154,124,Fornecedor
155,155,378,Cliente
156,156,148,Cliente
157,157,430,Fornecedor
158,158,132,Fornecedor
159,159,212,Cliente
160,160,137,Fornecedor
161,161,351,Fornecedor
162,162,114,Cliente
163,163,171,Fornecedor
164,164,214,Fornecedor
165,165,128,Cliente
166,166,241,Fornecedor
167,167,395,Fornecedor
168,168,166,Cliente
169,169,172,Cliente
170,170,153,Fornecedor
171,171,185,Cliente
172,172,284,Cliente
173,173,369,Fornecedor
174,174,145,Cliente
175,175,333,Fornecedor
176,176,277,Cliente
177,177,360,Fornecedor
178,178,443,Fornecedor
179,179,312,Fornecedor
180,180,124,Fornecedor
181,181,338,Cliente
182,182,273,Cliente
183,183,371,Cliente
184,184,472,Cliente
185,185,292,Fornecedor
186,186,259,Fornecedor
187,187,439,Cliente
188,188,141,Cliente
189,189,299,Cliente
190,190,312,Fornecedor
191,191,253,Fornecedor
192,192,433,Fornecedor
193,193,129,Cliente
194,194,285,Fornecedor
195,195,496,Fornecedor
196,196,130,Cliente
197,197,494,Cliente
198,198,236,Fornecedor
199,199,244,Cliente
200,200,367,Cliente
201,201,167,Cliente
202,202,391,Fornecedor
203,203,126,Fornecedor
204,204,370,Cliente
205,205,390,Cliente
206,206,147,Cliente
207,207,183,Fornecedor
208,208,443,Fornecedor
209,209,126,Fornecedor
210,210,386,Fornecedor
211,211,236,Fornecedor
212,212,342,Fornecedor
213,213,445,Fornecedor
214,214,484,Cliente
215,215,204,Cliente
216,216,487,Cliente
217,217,470,Cliente
218,218,247,Cliente
219,219,410,Fornecedor
220,220,365,Fornecedor
221,221,497,Fornecedor
222,222,313,Cliente
223,223,411,Fornecedor
224,224,400,Fornecedor
225,225,138,Cliente
226,226,262,Fornecedor
227,227,368,Fornecedor
228,228,344,Fornecedor
229,229,270,Cliente
230,230,220,Cliente
231,231,331,Fornecedor
232,232,290,Cliente
233,233,345,Fornecedor
234,234,364,Fornecedor
235,235,133,Fornecedor
236,236,145,Cliente
237,237,481,Fornecedor
238,238,281,Cliente
239,239,483,Fornecedor
240,240,481,Fornecedor
241,241,500,Fornecedor
242,242,177,Cliente
243,243,179,Fornecedor
244,244,215,Cliente
245,245,341,Cliente
246,246,324,Cliente
247,247,361,Fornecedor
248,248,122,Fornecedor
249,249,494,Fornecedor
250,250,159,Fornecedor
251,251,140,Fornecedor
252,252,249,Cliente
253,253,271,Cliente
254,254,331,Cliente
255,255,449,Fornecedor
256,256,190,Cliente
257,257,252,Cliente
258,258,480,Cliente
259,259,291,Fornecedor
260,260,200,Fornecedor
261,261,337,Fornecedor
262,262,238,Cliente
263,263,159,Fornecedor
264,264,131,Fornecedor
265,265,222,Cliente
266,266,115,Cliente
267,267,286,Cliente
268,268,230,Fornecedor
269,269,416,Fornecedor
270,270,210,Fornecedor
271,271,239,Cliente
272,272,473,Fornecedor
273,273,188,Fornecedor
274,274,313,Fornecedor
275,275,273,Fornecedor
276,276,154,Fornecedor
277,277,180,Fornecedor
278,278,396,Cliente
279,279,356,Fornecedor
280,280,101,Cliente
281,281,149,Cliente
282,282,397,Fornecedor
283,283,407,Fornecedor
284,284,266,Cliente
285,285,297,Cliente
286,286,156,Cliente
287,287,245,Cliente
288,288,211,Fornecedor
289,289,484,Cliente
290,290,112,Cliente
291,291,281,Cliente
292,292,349,Cliente
293,293,239,Cliente
294,294,294,Cliente
295,295,349,Cliente
296,296,401,Fornecedor
297,297,333,Cliente
298,298,270,Fornecedor
299,299,292,Cliente
300,300,393,Fornecedor
301,301,369,Cliente
302,302,308,Fornecedor
303,303,307,Cliente
304,304,281,Cliente
305,305,333,Fornecedor
306,306,498,Fornecedor
307,307,144,Cliente
308,308,402,Fornecedor
309,309,473,Fornecedor
310,310,413,Cliente
311,311,236,Cliente
312,312,498,Cliente
313,313,405,Cliente
314,314,466,Cliente
315,315,115,Fornecedor
316,316,279,Fornecedor
317,317,176,Fornecedor
318,318,408,Fornecedor
319,319,210,Fornecedor
320,320,450,Cliente
321,321,453,Cliente
322,322,426,Cliente
323,323,412,Cliente
324,324,185,Cliente
325,325,206,Fornecedor
326,326,319,Fornecedor
327,327,387,Cliente
328,328,466,Cliente
329,329,276,Cliente
330,330,115,Fornecedor
331,331,253,Fornecedor
332,332,322,Fornecedor
333,333,412,Fornecedor
334,334,160,Fornecedor
335,335,367,Cliente
336,336,280,Cliente
337,337,234,Cliente
338,338,362,Cliente
339,339,184,Cliente
340,340,112,Fornecedor
341,341,301,Cliente
342,342,302,Cliente
343,343,141,Cliente
344,344,198,Fornecedor
345,345,123,Cliente
346,346,440,Fornecedor
347,347,402,Fornecedor
348,348,115,Cliente
349,349,250,Fornecedor
350,350,130,Fornecedor
351,351,399,Fornecedor
352,352,412,Cliente
353,353,420,Fornecedor
354,354,276,Fornecedor
355,355,134,Cliente
356,356,118,Cliente
357,357,198,Fornecedor
358,358,115,Cliente
359,359,157,Cliente
360,360,431,Cliente
361,361,188,Cliente
362,362,392,Cliente
363,363,219,Fornecedor
364,364,275,Cliente
365,365,131,Cliente
366,366,375,Cliente
367,367,433,Cliente
368,368,264,Fornecedor
369,369,339,Fornecedor
370,370,389,Fornecedor
371,371,259,Cliente
372,372,363,Fornecedor
373,373,373,Cliente
374,374,490,Cliente
375,375,369,Cliente
376,376,193,Fornecedor
377,377,103,Fornecedor
378,378,288,Cliente
379,379,456,Cliente
380,380,122,Fornecedor
381,381,388,Cliente
382,382,399,Cliente
383,383,274,Fornecedor
384,384,368,Cliente
385,385,221,Cliente
386,386,230,Fornecedor
387,387,396,Cliente
388,388,209,Cliente
389,389,227,Fornecedor
390,390,290,Fornecedor
391,391,268,Cliente
392,392,374,Fornecedor
393,393,162,Cliente
394,394,346,Fornecedor
395,395,451,Fornecedor
396,396,306,Fornecedor
397,397,418,Fornecedor
398,398,491,Cliente
399,399,150,Cliente
400,400,216,Fornecedor
401,401,236,Cliente
402,402,286,Cliente
403,403,193,Cliente
404,404,402,Cliente
405,405,249,Fornecedor
406,406,456,Fornecedor
407,407,198,Cliente
408,408,441,Fornecedor
409,409,132,Cliente
410,410,385,Cliente
411,411,242,Fornecedor
412,412,346,Cliente
413,413,255,Fornecedor
414,414,272,Fornecedor
415,415,171,Cliente
416,416,397,Cliente
417,417,232,Fornecedor
418,418,190,Cliente
419,419,283,Fornecedor
420,420,476,Cliente
421,421,191,Fornecedor
422,422,122,Fornecedor
423,423,194,Cliente
424,424,285,Fornecedor
425,425,419,Cliente
426,426,409,Cliente
427,427,315,Cliente
428,428,100,Fornecedor
429,429,357,Cliente
430,430,480,Fornecedor
431,431,150,Fornecedor
432,432,420,Cliente
433,433,500,Fornecedor
434,434,253,Fornecedor
435,435,228,Fornecedor
436,436,284,Fornecedor
437,437,307,Fornecedor
438,438,320,Cliente
439,439,185,Cliente
440,440,462,Fornecedor
441,441,366,Cliente
442,442,270,Fornecedor
443,443,126,Fornecedor
444,444,374,Fornecedor
445,445,336,Fornecedor
446,446,154,Cliente
447,447,120,Cliente
448,448,390,Fornecedor
449,449,310,Cliente
450,450,228,Fornecedor
451,451,448,Cliente
452,452,264,Fornecedor
453,453,192,Cliente
454,454,166,Cliente
455,455,448,Fornecedor
456,456,220,Fornecedor
457,457,401,Cliente
458,458,397,Cliente
459,459,402,Fornecedor
460,460,316,Cliente
461,461,291,Cliente
462,462,448,Fornecedor
463,463,136,Cliente
464,464,370,Cliente
465,465,342,Fornecedor
466,466,387,Cliente
467,467,202,Cliente
468,468,346,Cliente
469,469,355,Cliente
470,470,479,Cliente
471,471,479,Fornecedor
472,472,450,Fornecedor
473,473,472,Cliente
474,474,376,Cliente
475,475,424,Fornecedor
476,476,125,Fornecedor
477,477,428,Fornecedor
478,478,146,Fornecedor
479,479,424,Cliente
480,480,293,Cliente
481,481,315,Fornecedor
482,482,409,Cliente
483,483,134,Cliente
484,484,412,Fornecedor
485,485,279,Fornecedor
486,486,159,Fornecedor
487,487,459,Fornecedor
488,488,408,Fornecedor
489,489,124,Fornecedor
490,490,378,Cliente
491,491,130,Cliente
492,492,225,Fornecedor
493,493,450,Cliente
494,494,301,Cliente
495,495,232,Fornecedor
496,496,306,Cliente
497,497,233,Cliente
498,498,100,Cliente
499,499,260,Fornecedor
